driver,race,race_1,race_2,race_3,race_4,last_year_tot,last_year_avg,last_year_std,same_race_last_year,score,year
 Valtteri Bottas,USA,12.0,10.0,15.0,18.0,20.0,0.8695652173913043,4.170288281141494,0.0,10,2017
 Valtteri Bottas,MEX,10.0,12.0,10.0,15.0,20.0,0.8695652173913043,4.170288281141494,,21,2017
 Valtteri Bottas,BRA,21.0,10.0,12.0,10.0,20.0,0.8695652173913043,4.170288281141494,,21,2017
 Valtteri Bottas,ABU,21.0,21.0,10.0,12.0,20.0,0.8695652173913043,4.170288281141494,0.0,28,2017
 Kimi Räikkönen,AUS,,,,,3.0,0.13043478260869565,0.6255432421712238,0.0,12,2017
 Kimi Räikkönen,CHN,12.0,,,,3.0,0.13043478260869565,0.6255432421712238,,10,2017
 Kimi Räikkönen,BHR,10.0,12.0,,,3.0,0.13043478260869565,0.6255432421712238,3.0,12,2017
 Kimi Räikkönen,RUS,12.0,10.0,12.0,,3.0,0.13043478260869565,0.6255432421712238,0.0,15,2017
 Kimi Räikkönen,ESP,15.0,12.0,10.0,12.0,3.0,0.13043478260869565,0.6255432421712238,0.0,0,2017
 Kimi Räikkönen,MON,0.0,15.0,12.0,10.0,3.0,0.13043478260869565,0.6255432421712238,0.0,18,2017
 Kimi Räikkönen,CAN,18.0,0.0,15.0,12.0,3.0,0.13043478260869565,0.6255432421712238,0.0,6,2017
 Kimi Räikkönen,AZE,6.0,18.0,0.0,15.0,3.0,0.13043478260869565,0.6255432421712238,0.0,0,2017
 Kimi Räikkönen,AUT,0.0,6.0,18.0,0.0,3.0,0.13043478260869565,0.6255432421712238,0.0,10,2017
 Kimi Räikkönen,GBR,10.0,0.0,6.0,18.0,3.0,0.13043478260869565,0.6255432421712238,0.0,18,2017
 Kimi Räikkönen,HUN,18.0,10.0,0.0,6.0,3.0,0.13043478260869565,0.6255432421712238,0.0,18,2017
 Kimi Räikkönen,BEL,18.0,18.0,10.0,0.0,3.0,0.13043478260869565,0.6255432421712238,0.0,12,2017
 Kimi Räikkönen,ITA,12.0,18.0,18.0,10.0,3.0,0.13043478260869565,0.6255432421712238,0.0,10,2017
 Kimi Räikkönen,SIN,10.0,12.0,18.0,18.0,3.0,0.13043478260869565,0.6255432421712238,0.0,0,2017
 Kimi Räikkönen,MAL,0.0,10.0,12.0,18.0,3.0,0.13043478260869565,0.6255432421712238,,0,2017
 Kimi Räikkönen,JPN,0.0,0.0,10.0,12.0,3.0,0.13043478260869565,0.6255432421712238,0.0,13,2017
 Kimi Räikkönen,USA,13.0,0.0,0.0,10.0,3.0,0.13043478260869565,0.6255432421712238,0.0,15,2017
 Kimi Räikkönen,MEX,15.0,13.0,0.0,0.0,3.0,0.13043478260869565,0.6255432421712238,,18,2017
