Driver,AUS,CHN,BHR,RUS,ESP,MON,CAN,AZE,AUT,GBR,HUN,BEL,ITA,SIN,MAL,JPN,USA,MEX,BRA,ABU,Year,FRA,GER
 Alexander Albon,0,1,2,10,0,4,0,0,0,0,1,13,11,8,,15,10,13,0,8,2019,0.0,8.0
 Daniel Ricciardo,0,9,0,0,3,5,11,0,3,9,0,0,15,0,,-10,11,7,11,3,2019,0.0,0.0
 Sergio Pérez,0,7,4,9,3,3,0,11,3,0,3,11,9,0,,7,4,9,5,9,2019,3.0,0.0
 Lando Norris,3,0,11,4,0,0,0,4,11,0,2,3,4,9,,0,9,0,4,7,2019,2.0,0.0
 Kimi Räikkönen,7,5,9,3,3,3,0,4,5,7,9,3,0,0,,3,3,0,15,3,2019,9.0,3.0
 Daniil Kvyat,4,0,0,3,2,6,1,0,0,2,0,9,0,0,,1,3,0,1,5,2019,0.0,18.0
 Nico Hülkenberg,9,0,3,4,0,0,6,3,0,1,3,7,10,5,,-10,2,1,0,0,2019,7.0,0.0
 Lance Stroll,5,0,0,0,0,0,5,2,0,3,0,1,0,3,,2,0,0,0,0,2019,0.0,15.0
 Kevin Magnussen,11,0,3,5,9,0,0,3,0,0,3,3,0,5,,0,0,3,3,3,2019,3.0,4.0
 Antonio Giovinazzi,0,0,0,0,0,0,3,0,1,0,0,0,5,4,,0,0,3,10,0,2019,0.0,0.0
 Romain Grosjean,0,3,0,0,1,4,3,0,3,0,0,0,3,3,,3,3,0,0,0,2019,0.0,9.0
 Robert Kubica,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,0,0,0,0,0,2019,3.0,4.0
 George Russell,3,3,3,0,3,3,3,3,3,3,3,3,3,0,,3,3,3,3,3,2019,0.0,0.0
